job_title,job_links,cities,company,company_rating
Software Engineering High School Intern,https://www.indeed.com/rc/clk?jk=bce7c722b1b8de78&fccid=aeb15e43a6800b9d&vjs=3,"Owego, NY 13827",LOCKHEED MARTIN CORPORATION,5.0
"People Research Scientist, People Analytics (Recruiting)",https://www.indeed.com/rc/clk?jk=5df2845cec867bac&fccid=1639254ea84748b5&vjs=3,"New York, NY (Greenwich Village area)",Facebook,5.0
Python Engineer,https://www.indeed.com/rc/clk?jk=02aa57266f1a0d50&fccid=548e0909717a6ddf&vjs=3,"New York, NY",Millennium Management LLC,5.0
Data Scientist,https://www.indeed.com/rc/clk?jk=994fc32d4b278715&fccid=ba70b621d4301067&vjs=3,New York State,Phreesia,5.0
"Data Analyst, WorkMarket",https://www.indeed.com/rc/clk?jk=df0848e56019c9e0&fccid=e996c2d6855fe778&vjs=3,"New York, NY 10001 (Chelsea area)",ADP,5.0
Java/Python Engineer for Securitized Products,https://www.indeed.com/rc/clk?jk=5b6613bde562fb9c&fccid=aaf3b433897ea465&vjs=3,"New York, NY","JPMorgan Chase Bank, N.A.",5.0
"CIB F&BM - Central Planning & Analysis - Technical Function,...",https://www.indeed.com/rc/clk?jk=e420b90486b0968d&fccid=aaf3b433897ea465&vjs=3,"Brooklyn, NY","JPMorgan Chase Bank, N.A.",5.0
Software Engineer (Python/Java/Clojure),https://www.indeed.com/rc/clk?jk=59dd9c53dd1a07b7&fccid=3e34ac4ae73849ba&vjs=3,"New York, NY 10003 (Flatiron District area)",Medidata Solutions,5.0
Data Scientist,https://www.indeed.com/rc/clk?jk=c29bd2f7e2a5d7bc&fccid=b480584f7bee501e&vjs=3,"New York, NY",WorkFusion,5.0
Decision Scientist,https://www.indeed.com/rc/clk?jk=646e56334dd4aad1&fccid=48ea04276ecce7e5&vjs=3,"New York, NY",NakedWines.com,5.0
2021 Software Engineer,https://www.indeed.com/rc/clk?jk=40c35e7ccfed0758&fccid=f770da67b3b51c62&vjs=3,"New York, NY",Bloomberg,5.0
STORAGE/BACKUP ADMINISTRATOR,https://www.indeed.com/rc/clk?jk=5634d9e4cacf17fe&fccid=8ad805fbb70168d6&vjs=3,"Manhattan, NY 10001 (Chelsea area)",New York City FINANCIAL INFO SVCS AGENCY,5.0
Quantitative Trading Research Associate,https://www.indeed.com/rc/clk?jk=f022468aa6d002f2&fccid=ca2285c3548c3efe&vjs=3,"New York, NY",Macquarie Group Limited,5.0
Data Analyst Intern,https://www.indeed.com/rc/clk?jk=abfd92126f0a8d8e&fccid=978d9fd9799d55a8&vjs=3,"New York, NY 10018 (Clinton area)",PayPal,5.0
Quantitative Trading Intern (Summer 2021),https://www.indeed.com/rc/clk?jk=8f2e1f71216c3fd4&fccid=aad0a6d052467169&vjs=3,"New York, NY",Tower Research Capital,5.0
Senior Economist,https://www.indeed.com/rc/clk?jk=bfa910ae6e46409f&fccid=9affcdd0562bf28d&vjs=3,"New York, NY 10001 (Chelsea area)",Monument Economics Group,5.0
C++ Developer (INTERN),https://www.indeed.com/rc/clk?jk=dc047d997412893d&fccid=4f36cf717ed1367b&vjs=3,"New York, NY 10017 (Midtown area)",Alpha Beta Investments,5.0
Junior Data Scientist,https://www.indeed.com/rc/clk?jk=549b343d185ed525&fccid=30cb52ad6dd37131&vjs=3,"New York, NY 10014 (SoHo area)",ViacomCBS,5.0
2021 Software Engineer Program - Full Time Opportunity,https://www.indeed.com/rc/clk?jk=c731414512f9a035&fccid=aaf3b433897ea465&vjs=3,"New York, NY","JPMorgan Chase Bank, N.A.",5.0
Global Equity Index Analyst,https://www.indeed.com/rc/clk?jk=36b4f50e13620c56&fccid=1c76c3a36f6c7557&vjs=3,"New York, NY",UBS,5.0
Data Engineer,https://www.indeed.com/rc/clk?jk=9dbf4634a49669c4&fccid=01fd1f2f239c15f4&vjs=3,New York State,Unite Us,5.0
NLP Data Scientist Internship (REMOTE),https://www.indeed.com/rc/clk?jk=725fc70c4bf910ea&fccid=4f11fda3f02f70cd&vjs=3,New York State,Vee,5.0
Software Engineer,https://www.indeed.com/rc/clk?jk=e5f47c4568cd698b&fccid=25b5166547bbf543&vjs=3,"New York, NY",AT&T,5.0
"Quantitative Developer, Python",https://www.indeed.com/rc/clk?jk=b905499367112b35&fccid=376cafc34c3b98c4&vjs=3,"New York, NY",GuardX Inc,5.0
